Month,flight: (Philippines)
2016-01,51
2016-02,46
2016-03,51
2016-04,50
2016-05,50
2016-06,46
2016-07,48
2016-08,47
2016-09,51
2016-10,56
2016-11,48
2016-12,53
2017-01,60
2017-02,62
2017-03,56
2017-04,60
2017-05,59
2017-06,53
2017-07,55
2017-08,55
2017-09,63
2017-10,58
2017-11,61
2017-12,65
2018-01,66
2018-02,60
2018-03,67
2018-04,63
2018-05,59
2018-06,65
2018-07,61
2018-08,72
2018-09,64
2018-10,58
2018-11,64
2018-12,63
2019-01,72
2019-02,65
2019-03,70
2019-04,76
2019-05,69
2019-06,70
2019-07,66
2019-08,71
2019-09,67
2019-10,65
2019-11,71
2019-12,81
2020-01,100
2020-02,69
2020-03,68
2020-04,40
2020-05,46
2020-06,46
2020-07,38
2020-08,37
2020-09,38
2020-10,30
2020-11,32
2020-12,33
2021-01,50
2021-02,31
2021-03,38
2021-04,35
2021-05,34
2021-06,35
2021-07,39
2021-08,35
2021-09,33
2021-10,35
2021-11,41
2021-12,46
2022-01,48
2022-02,49
2022-03,55
2022-04,62
2022-05,64
2022-06,65
2022-07,65
2022-08,63
2022-09,56
2022-10,64
2022-11,61
2022-12,65
2023-01,75
2023-02,66
2023-03,65
2023-04,66
2023-05,73
2023-06,85
2023-07,87
2023-08,73
2023-09,64
2023-10,62
2023-11,67
2023-12,78
2024-01,74
2024-02,69
2024-03,68
2024-04,66
2024-05,78
2024-06,77
2024-07,85
2024-08,66
2024-09,63
2024-10,70
2024-11,75
2024-12,76
2025-01,79
2025-02,73
2025-03,78
2025-04,76
2025-05,76
2025-06,81
2025-07,77
2025-08,72
